'a'ba'gai'xin'zao 阿巴盖新蚤
'xin'ye'ying'shu 新叶蝇属
'xin'yi'xiong'feng 信义熊蜂
'xin'yi'yuan'shu 新异蚖属
'xin'yin'chi'chong'shu 辛隐翅虫属
'xin'ying'zong'jia'lou 新颖棕蛱螻
'xin'yuan'zhi'bei'huang 新源直背蝗
'xin'yuan'zhu'shu 新园蛛属
'xin'yue'dai'chun'ting 新月戴春蜓
'xin'yue'dan'zao 新月单蚤
'xin'yue'feng'die 新月凤蝶
'xin'yue'gen'shou'wen 新月根瘦蚊
'xin'yue'mang'guo'zhu 新月芒果蛛
'xin'yue'ni'fen'ying 新月拟粉蝇
'xin'yue'qiu'zhu 新月球蛛
'xin'yue'san'ci'jiao'chan 新跃三刺角蝉
'xin'yue'shi'ya'sheng 新月食蚜绳
'xin'yue'shi'ya'ying 新月食蚜蝇
'xin'yue'tou'chi'e'shu 新月透翅蛾属
'xin'yue'wen'liu'xiang'tian'niu 新月纹瘤象天牛
'xin'zao'ji'feng'shu 新凿姬蜂属
'xin'zao'ji'feng'zu 新凿姬蜂族
'xin'zao'shu 新蚤属
'xin'zao'ya'ke 新蚤亚科
'xin'zhe'yan'e'shu 新遮颜蛾属
'xin'zhong'hua'san'bai'yi 新中华散白蚁
'xin'zhou'e'shu 心舟蛾属
'xin'zhou'lie'chun 新舟猎蝽
'xin'zhou'lie'chun'shu 新舟猎蝽属
'xin'zhu'chang'gang 新竹长肛
'xin'zhu'jie 新珠蚧
'xin'zhu'jie'shu 新珠蚧属
'xin'zhu'ying'pi 新竹硬蜱
'xing'an'duan'gang 兴安短肛
'xing'an'fang'run 兴安仿润
'xing'an'mi'huang 兴安迷蝗
'xing'an'wu'zhu 兴安舞蛛
'xing'an'zhen'chun 兴安姫蝽
'xing'bai'chi'e'shu 星白尺蛾属
'xing'ban'bing'tuo'wu'meng 星斑柄驼舞虻
'xing'ban'chang'tu'fei'shi 醒斑长突飞虱
'xing'ban'ju'fu'zhu 星斑距跗蛛
'xing'ban'kuan'fu'zhu 星斑宽腹蛛
'xing'ban'shi'ying'shu 星斑实蝇属
'xing'ban'shi'ying'zu 星斑实蝇族
'xing'ban'si'fa'en'shi'ying 性斑斯法恩实蝇
'xing'ban'you'ling'zhu 星斑幽灵蛛
'xing'ban'yuan'fu'zhu 星斑圆腹蛛
'xing'ban'zhi'shan 星斑栉扇
'xing'bao'zhu 星豹蛛
'xing'bu'jia'shu 星步甲属
'xing'cha'nie'chong 星茶啮虫
'xing'cheng'liao'ning'yuan 兴城辽宁蚖
'xing'chi'da'guang'lian 星翅大光蠊
'xing'chi'e'shu 星尺蛾属
'xing'chi'e'shu 杏尺蛾属
'xing'chi'huang'shu 星翅蝗属
'xing'chi'huang'ya'ke 星翅蝗亚科
'xing'chi'lin'shu 星齿鳞属
'xing'chong 行虫
'xing'dao'qian'tu'ya'jian'feng 行道前突蚜茧蜂
'xing'deng'e'shu 星灯蛾属
'xing'dian'jia'die'shu 星点蛱蝶属
'xing'dian'jin'ban'e'shu 星点锦斑蛾属
'xing'dou'shan'gong'bei'yi 星斗山弓背蚁
'xing'dun'jie'ya'ke 星盾蚧亚科
'xing'e'la'chan'shu 星蛾蜡蝉属
'xing'fen'jie 星粉蚧
'xing'fen'jie'shu 星粉蚧属
'xing'feng'die 杏凤蝶
'xing'gu'ao'er'ta'shi'ying 星古奥尔塔实蝇
'xing'hei'dai'mai'e 杏黑带麦蛾
'xing'hong'li'yi'feng 猩红丽蚁蜂
'xing'hong'tian'niu'shu 猩红天牛属
'xing'hua'jin'gui'shu 星花金龟属
'xing'hua'ying'shu 星花蝇属
'xing'huan'jia'die 星环蛱蝶
'xing'jia'die'shu 星蛱蝶属
'xing'jiao'zhu 星狡蛛
'xing'ju'rao'ba'duo'shi'ying 星聚绕巴多实蝇
'xing'ju'xie'zhu 星巨蟹蛛
'xing'juan'e'shu 星卷蛾属
'xing'juan'ye'ya 杏卷叶蚜
'xing'jun'chong 行军虫
'xing'jun'chong'ya'ke 行军虫亚科
'xing'jun'yi'shu 行军蚁属
'xing'jun'yi'ya'ke 行军蚁亚科
'xing'kang'dun'jie'shu 星糠盾蚧属
'xing'keng'xiao'du'shu 星坑小蠹属
'xing'ku'meng 形库蠓
'xing'la'jie'shu 星蜡蚧属
'xing'liu'e'ya 杏瘤额蚜
'xing'long 星龙
'xing'long'guan'bian'ya 兴隆管扁蚜
'xing'long'hai'nan'jia 兴隆海南铗
'xing'long'ma'ying 兴隆麻蝇
'xing'long'mian'shan'cong 兴隆缅山蟌
'xing'long'shan'ao'bei'huang 兴隆山凹背蝗
'xing'long'shan'wu'zhu 兴龙山舞蛛
'xing'long'shi'ya'ke 星龙虱亚科
'xing'luo'xin'fu 星络新妇
'xing'mai'chang'zu'meng'shu 行脉长足虻属
'xing'mai'e'shu 星麦蛾属
'xing'mao'chong'bing'fu'ji'xiao'feng 星毛虫柄腹姬小蜂
'xing'mao'meng 星毛蠓
'xing'mao'qiu'jie 杏毛球蚧
'xing'mu'e'shu 杏木蛾属
'xing'mu'gai'zhu 醒目盖蛛
'xing'nie'chong'ke 星啮虫科
'xing'nie'chong'shu 星啮虫属
'xing'nong'die'shu 星弄蝶属
'xing'nong'die'zu 星弄蝶族
'xing'pan'piao'chong'shu 星盘瓢虫属
'xing'qi'hu'da'tou'yi 兴起湖大头蚁
'xing'qi'jiao'zhu 兴起狡蛛
'xing'ren'nong'die'shu 杏仁弄蝶属
'xing'rong'fen'jie 星绒粉蚧
'xing'san'wen'jia'die 星三纹蛱蝶
'xing'se'xiong'feng 杏色熊蜂
'xing'shan'chang'ti'jian'feng 兴山长体茧蜂
'xing'shan'duan'gang 兴山短肛
'xing'shan'ken'yuan 兴山肯蚖
'xing'shan'qi'xiang'bai'yi 兴山奇象白蚁
'xing'shan'san'bai'yi 兴山散白蚁
'xing'shan'shi'ying 星山实蝇
'xing'shui'meng'shu 星水虻属
'xing'si'xi'shu 星丝螅属
'xing'tai'e'shu 星苔蛾属
'xing'tian'e'shu 星天蛾属
'xing'tian'niu'lan'ban'ya'zhong 星天牛蓝斑亚种
'xing'tian'niu'shu 星天牛属
'xing'tiao'ji'jia'shu 形条脊甲属
'xing'tou'chi'e'shu 兴透翅蛾属
'xing'tu'fei'zhu 星突肥蛛
'xing'wan'chi'lian 星弯翅蠊
'xing'wan'ye'mao'piao'chong'ya'shu 星弯叶毛瓢虫亚属
'xing'wang'e'shu 形网蛾属
'xing'wang'zhu'ru'zhu 兴旺侏儒蛛
'xing'wen'jia'die'shu 星纹蛱蝶属
'xing'wen'xie'ling 星蚊蝎蛉
'xing'wu'meng 星舞虻
'xing'wu'meng'shu 星舞虻属
'xing'xian'die'shu 星蚬蝶属
'xing'xiang 杏象
'xing'xiang'jia 杏象甲
'xing'xiao'bu'jia 行小步甲
'xing'xie'chun'shu 形蝎蝽属
'xing'xing'juan'ye'ju'feng 星形卷叶锯蜂
'xing'xing'shi'ying 星形实蝇
'xing'xing'yin'shi 猩猩阴虱
'xing'ya'wai'jian'feng 杏蚜外茧蜂
'xing'ya'xian'die'shu 星雅蚬蝶属
'xing'ye'e'shu 兴夜蛾属
'xing'ye'e'shu 星夜蛾属
'xing'yi'ling'shu 星蚁蛉属
'xing'yi'san'bai'yi 兴义散白蚁
'xing'yi'wang'wei 兴义网螱
'xing'yi'wei'rui 兴义维蚋
'xing'yin'chi'chong'shu 星隐翅虫属
'xing'ying'feng 形瘿蜂
'xing'ying'feng'shu 形瘿蜂属
'xing'yuan'chong'shu 星圆虫属
'xing'yuan'qiu'jie 杏圆球蚧
'xing'yue'nong'die'shu 星月弄蝶属
'xing'zhen'ji'ma'shu 星针蓟马属
'xing'zhou'e'shu 星舟蛾属
'xing'zhuang'cu'fu'yao'wen 星状粗腹摇蚊
'xiong'bai'pian'jian 胸白偏健
'xiong'ban'fa'li'jin'gui 胸斑发丽金龟
'xiong'ban'hua'pi'zhu 胸斑花皮蛛
'xiong'ban'huang'shu 胸斑蝗属
'xiong'ban'ju'chi'zhu 胸斑巨齿蛛
'xiong'ban'li'jin'gui 胸斑丽金龟
'xiong'ban'qiu'zhu 胸斑球蛛
'xiong'ban'san'jie'cao'ling 胸斑三阶草蛉
'xiong'bao'pu'dao'yi 凶暴铺道蚁
'xiong'ben'gou'ji'feng 熊本沟姬蜂
'xiong'ben'lin 熊本邻
'xiong'can'ya'jian'feng 凶残蚜茧蜂
'xiong'ding'zhu 熊丁蛛
'xiong'duan'tui'ya'ying 雄短腿蚜蝇
'xiong'feng 熊蜂
'xiong'feng'shu 熊蜂属
'xiong'guo'ying'shu 胸蜾嬴属
'xiong'hong'chan 胸红蝉
'xiong'hua'huang'shu 胸铧蝗属
'xiong'hui'ya'mu 胸喙亚目
'xiong'jiao'shi 熊嚼虱
'xiong'ku'ye'e'shu 胸枯叶蛾属
'xiong'la'xiong'feng 雄拉熊蜂
'xiong'lang'zhu 凶狼蛛
'xiong'lie'chun'shu 胸猎蝽属
'xiong'lu'da'can'e 雄鹿大蚕蛾
'xiong'mao'chang'huang'hu'feng 熊猫长黄胡蜂
'xiong'mao'qu'jia'meng'yi 熊猫曲颊猛蚁
'xiong'mao'tai'sou 胸毛苔螋
'xiong'meng'chun'ting 凶猛春蜓
'xiong'meng'chun'ting'shu 凶猛春蜓属
'xiong'meng'wen'ji'ying 凶猛温寄蝇
'xiong'nong'die'shu 匈弄蝶属
'xiong'san'dun'jian'feng 胸三盾茧蜂
'xiong'shuang'zao 凶双蚤
'xiong'tai'nu'jian'feng 熊太怒茧蜂
'xiong'tian'en'lan'shi 熊田恩蓝虱
'xiong'tian'hua'zhu 熊田花蛛
'xiong'wu'dian'feng 熊无垫蜂
'xiong'xiao'ku'wen 凶小库蚊
'xiong'xu'ye'e'shu 胸须夜蛾属
'xiong'ya'li'chang'ti'jian'feng 匈牙利长体茧蜂
'xiong'ya'li'mei'shi'zi'ying'feng 匈牙利没食子瘿蜂
'xiong'ya'shu 胸蚜属
'xiong'ye'tian'niu'shu 胸叶天牛属
'xiong'yu'shi 熊羽虱
'xiong'zhang'ya'ying'ji'feng 胸胀蚜蝇姬蜂
'xiong'zhu'shu 熊蛛属
'xiong'zong'zao 熊鬃蚤
'xiu'ban'bai'tiao'tian'niu 锈斑白条天牛
'xiu'ban'da'can'e'shu 绣斑大蚕蛾属
'xiu'ban'die'shu 袖斑蝶属
'xiu'ban'die'ya'ke 袖斑蝶亚科
'xiu'bei'la'chan 绣悲蜡蝉
'xiu'bei'la'chan 锈悲蜡蝉
'xiu'bian'ling'fu'hu'feng 绣边铃腹胡蜂
'xiu'bian'ling'fu'hu'feng 锈边铃腹胡蜂
'xiu'bo'chi'e'shu 绣波尺蛾属
'xiu'chan'shu 秀蝉属
'xiu'chang'chun'shu 修长蝽属
'xiu'chang'lian'bian'cong 修长镰扁蟌
'xiu'chang'xin'li'mang'chun 修长新丽盲蝽
'xiu'chang'zhi'yan'zao'zhi'ming'ya'zhong 修长栉眼蚤指名亚种
'xiu'chao'qiu'la'jie 绣朝球蜡蚧
'xiu'chi'jia'huang 锈翅痂蝗
'xiu'chi'xiao'juan'e 绣翅小卷蛾
'xiu'chun 秀蝽
'xiu'chun'shu 秀蝽属
'xiu'chun'xi'tiao'feng 锈唇细条蜂
'xiu'die'ke 袖蝶科
'xiu'die'shu 袖蝶属
'xiu'er'ye'chan 锈耳叶蝉
'xiu'fen'die'shu 秀粉蝶属
'xiu'fen'die'shu 袖粉蝶属
'xiu'fen'die'ya'ke 袖粉蝶亚科
'xiu'fen'jie'shu 秀粉蚧属
'xiu'fu'chang'bing'jian'feng 修复长柄茧蜂
'xiu'fu'huang'hu'feng 绣腹黄胡蜂
'xiu'fu'huang'hu'feng 锈腹黄胡蜂
'xiu'gong'mai'jian'feng 秀弓脉茧蜂
'xiu'guo'luo'shu 秀蜾蠃属
'xiu'he'yuan'hua'chun 绣褐原花蝽
'xiu'hong'liu'ye'jia 锈红瘤叶甲
'xiu'hu'e'shu 修虎蛾属
'xiu'hua'jin'gui'shu 锈花金龟属
'xiu'hua'li'mao'yi 绣花立毛蚁
'xiu'hua'ni'lan'de'yi 绣花尼兰德蚁
'xiu'hua'shao'mao'ya'jian'feng 绣花少毛蚜茧蜂
'xiu'hua'shao'mao'ya'wai'jian'feng 锈花少毛蚜外茧蜂
'xiu'hua'tian'niu'shu 修花天牛属
'xiu'hua'xie'zhu 锈花蟹蛛
'xiu'huang'ban'feng 袖黄斑蜂
'xiu'huang'chi'ding'fei'shi 绣黄匙顶飞虱
'xiu'huang'de'ma'luo'yi'shi'ying 锈黄德马罗伊实蝇
'xiu'hui'die'shu 秀灰蝶属
'xiu'hui'die'shu 袖灰蝶属
'xiu'ji'chi'tian'niu 绣脊翅天牛
'xiu'ji'chun'shu 修姬蝽属
'xiu'ji'sou 修棘螋
'xiu'jia'die'shu 秀蛱蝶属
'xiu'jia'die'shu 袖蛱蝶属
'xiu'jia'die'ya'ke 秀蛱蝶亚科
'xiu'jian'chun 秀剑蝽
'xiu'jie'fen'jie 秀洁粉蚧
'xiu'jing'ying'wen 锈茎瘿蚊
'xiu'jing'ying'wen'shu 绣茎瘿蚊属
'xiu'jing'ying'wen'shu 锈茎瘿蚊属
'xiu'ku'meng 锈库蠓
'xiu'kuan'xiong'ying'hu 锈宽胸蝇虎
'xiu'la'chan'ke 袖蜡蝉科
'xiu'li'bian'qiao'jia 秀丽扁锹甲
'xiu'li'jin'gui'shu 修丽金龟属
'xiu'li'mang'chun 秀丽盲蝽
'xiu'li'zou'chun 秀丽邹蝽
'xiu'lie'chun'shu 秀猎蝽属
'xiu'ling'qu'ji'feng 嗅灵曲姬蜂
'xiu'man'yuan'chun 秀曼缘蝽
'xiu'mei'gu'yuan 秀美古蚖
'xiu'mu'jia'ke 朽木甲科
'xiu'mu'jia'shu 朽木甲属
'xiu'mu'jia'ya'ke 朽木甲亚科
'xiu'mu'jia'zu 朽木甲族
'xiu'mu'shi'shu 羞木虱属
'xiu'mu'ye'e'shu 朽木夜蛾属
'xiu'nong'die'shu 秀弄蝶属
'xiu'nong'die'shu 羞弄蝶属
'xiu'nong'die'shu 袖弄蝶属
'xiu'pi'ju'feng 锈皮锯蜂
'xiu'pi'ju'feng'shu 锈皮锯蜂属
'xiu'qiao'jia 锈锹甲
'xiu'qie'ye'feng 锈切叶蜂
'xiu'qiu'chang'bai'dun'jie 绣球长白盾蚧
'xiu'qiu'chang'bai'jie 绣球长白蚧
'xiu'qiu'guan'wang'chun 绣球冠网蝽
'xiu'san'ci'jiao'chan 锈三刺角蝉
'xiu'se'cai'zhong 锈色彩螽
'xiu'se'chi'ding'fei'shi 锈色匙顶飞虱
'xiu'se'da'hei'yi 锈色大黑蚁
'xiu'se'e'la'chan 绣涩蛾蜡蝉
'xiu'se'e'la'chan 锈涩蛾蜡蝉
'xiu'se'heng'tou'ye'chan 锈色横头叶蝉
'xiu'se'hou'jie'meng'yi 锈色厚结猛蚁
'xiu'se'hua'li'guo'luo 绣色华丽蜾蠃
'xiu'se'hua'li'guo'luo 锈色华丽蜾蠃
'xiu'se'li'jian'tian'niu 绣色粒肩天牛
'xiu'se'mao'dun'mang'chun 秀色毛盾盲蝽
'xiu'se'ni'jie'wei'lian 锈色拟截尾蠊
'xiu'se'shu'tu'jia 锈色竖土甲
'xiu'se'ya'jian'feng 锈色蚜茧蜂
'xiu'se'you'xi'zhong 锈色优蟋螽
'xiu'shan'hua'niu'bai'yi 秀山华扭白蚁
'xiu'shan'hua'zhu 秀山花蛛
'xiu'shan'jin'guan'zhu 修山近管蛛
'xiu'shan'qiu'fu'zhu 秀山丘腹蛛
'xiu'shan'yi'chi'huang 秀山异翅蝗
'xiu'shi'hua'chun'ting 修氏华春蜓
'xiu'shi'lie'fu'zhu 修饰裂腹蛛
'xiu'shou'tian'niu'shu 修瘦天牛属
'xiu'tai'e'shu 绣苔蛾属
'xiu'tang'jie'chun 修螳竭蝽
'xiu'tian'niu'shu 修天牛属
'xiu'tiao'wu'ye'chan 锈条乌叶蝉
'xiu'wei'ya 修尾蚜
'xiu'wei'ya'jian'feng 修尾蚜茧蜂
'xiu'wei'ya'shu 修尾蚜属
'xiu'wen'chi'e 绣纹尺蛾
'xiu'wen'guo'gong'chong'shu 绣纹郭公虫属
'xiu'xian'ju'san'cha'ya'jian'feng 绣线菊三叉蚜茧蜂
'xiu'xian'yi'chun'ting 休闲异春蜓
'xiu'xiong'de'ma'shi'ying 锈胸德马实蝇
'xiu'xiong'hua'tian'niu'shu 修胸花天牛属
'xiu'yan'die'shu 秀眼蝶属
'xiu'yan'die'shu 羞眼蝶属
'xiu'yao'qing'chi'e'shu 锈腰青尺蛾属
'xiu'ye'chong'ke 朽叶虫科
'xiu'ye'e 秀夜蛾
'xiu'ye'e'shu 秀夜蛾属
'xiu'ye'feng'shu 锈叶蜂属
'xiu'ying'yin'lin'zhu 秀英银鳞蛛
'xiu'yu'e'shu 秀羽蛾属
'xiu'yuan'e'mang'chun 锈圆额盲蝽
'xiu'zhe'yuan'chun 锈赭缘蝽
'xiu'zu'xi'tiao'feng 锈足细条蜂
'xiu'zu'zhi'shu'ji'feng 绣足治蠋姬蜂
'xu'bai'yi'shu 须白蚁属
'xu'bu'jia'shu 须步甲属
'xu'chi'zu 旭赤卒
'xu'ci'e'shu 须刺蛾属
'xu'ci'ye'e'shu 须刺夜蛾属
'xu'dong'ye'e'shu 虚冬夜蛾属
'xu'fang'hua'bian'cong 绪方华扁蟌
'xu'gong'bei'yi'tai'shi'ya'zhong 须弓背蚁泰氏亚种
'xu'guang'chi'qing 旭光赤蜻
'xu'ji'jian'feng 序脊茧蜂
'xu'jin'ban'e'shu 旭锦斑蛾属
'xu'ku'meng 虚库蠓
'xu'lian'ke 顼蠊科
'xu'lv'tian'niu'shu 须绿天牛属
'xu'ma'ying'shu 须麻蝇属
'xu'mang'chun'shu 序盲蝽属
'xu'mang'chun'shu 须盲蝽属
'xu'nie'chong'shu 须啮虫属
'xu'nong'die'shu 旭弄蝶属
'xu'nong'die'shu 虚弄蝶属
'xu'nong'die'shu 须弄蝶属
'xu'qi'ye'ming'shu 须歧野螟属
'xu'qiao'mai'e'shu 须峭麦蛾属
'xu'quan'ying'shu 须泉蝇属
'xu'shi'bai'ling 许氏白蛉
'xu'shi'kuan'tou'gan'ying 许氏宽头秆蝇
'xu'shi'qiu'zhu 徐氏球蛛
'xu'shi'si'ling 许氏司蛉
'xu'shi'xi'e'ji'feng 许氏细颚姬蜂
'xu'shui'ming'shu 须水螟属
'xu'si'wen'rong'jia'die 絮丝纹榕蛱蝶
'xu'tai'xiao'ye'chan 须泰小叶蝉
'xu'tian'niu'shu 须天牛属
'xu'tian'niu'ya'ke 须天牛亚科
'xu'tian'niu'zu 须天牛族
'xu'xian'die'shu 须蚬蝶属
'xu'xiao'yao'zhu 虚逍遥蛛
'xu'yan'die'shu 魆眼蝶属
'xu'ye'ming'shu 须野螟属
'xu'yi 须蚁
'xu'yi'shu 须蚁属
'xu'yuan'shu 旭蚖属
'xu'yuan'xian'die'shu 须缘蚬蝶属
'xu'yun'mu'bi'bai'yi 绪云木鼻白蚁
'xu'zhang'fu'hu'feng 虚长腹胡蜂
'xu'zhi'ji'feng 须栉姬蜂
'xu'zhou'e'shu 须舟蛾属
'xuan'bao'zhu 旋豹蛛
'xuan'bian'cha'ji 旋鞭叉襀
'xuan'cai'xi'cong 炫彩溪蟌
'xuan'chang'fu'tu'feng 炫长腹土蜂
'xuan'ci'gu'guo'ying'shu 旋刺股果蝇属
'xuan'deng'e'shu 眩灯蛾属
'xuan'di'wen'ye'e 玄滴纹夜蛾
'xuan'feng'zhou'e 旋风舟蛾
'xuan'gou'zi'bai'lun'jie 悬钩子白轮蚧
'xuan'gou'zi'chang'guan'ya 悬钩子长管蚜
'xuan'gou'zi'ge'mu'shi 悬钩子个木虱
'xuan'gou'zi'ji'ma 悬钩子蓟马
'xuan'gou'zi'jing'feng 悬钩子茎蜂
'xuan'gou'zi'jing'ying'wen 悬钩子茎瘿蚊
'xuan'gou'zi'lian'xu'ye'e 悬钩子镰须夜蛾
'xuan'gou'zi'qian'ye'feng 悬钩子潜叶蜂
'xuan'gou'zi'song'cun'ya 悬钩子松村蚜
'xuan'gou'zi'tu'yuan'ya 悬钩子凸圆蚜
'xuan'gou'zi'wu'wang'chang'guan'ya 悬钩子无网长管蚜
'xuan'gou'zi'ya'jian'feng 悬钩子蚜茧蜂
'xuan'gou'zi'ye'feng 悬钩子叶蜂
'xuan'gou'zi'ying'wen 悬钩子瘿蚊
'xuan'gou'zi'yun'dun'jie 悬钩子云盾蚧
'xuan'hua'qian'e 旋花潜蛾
'xuan'hua'qian'e'shu 旋花潜蛾属
'xuan'hua'tian'e 旋花天蛾
'xuan'hua'tian'e'chi'yan'feng 旋花天蛾赤眼蜂
'xuan'hua'yuan'gui'jia 旋花圆龟甲
'xuan'hui'die'shu 旋灰蝶属
'xuan'hui'die'shu 玄灰蝶属
'xuan'ji'tian'niu'shu 旋技天牛属
'xuan'jian'feng'shu 悬茧蜂属
'xuan'jian'ji'feng'shu 悬茧姬蜂属
'xuan'jing'zhou'e'shu 旋茎舟蛾属
'xuan'juan'qiao'fu'zhu 旋卷峭腹蛛
'xuan'juan'xi'zhu 旋卷隙蛛
'xuan'ku'ye'e'shu 旋枯叶蛾属
'xuan'li'zhen'ye'ying 绚丽真叶蝇
'xuan'ling'mu'mian'jie 悬铃木绵蚧
'xuan'ling'mu'mian'jie'shu 悬铃木绵蚧属
'xuan'mu'ye'e'shu 旋目夜蛾属
'xuan'nang'mai'lang'zhu 旋囊脉狼蛛
'xuan'niu'hua'xie'zhu 旋扭花蟹蛛
'xuan'niu'shan'zhu 旋扭栅蛛
'xuan'nong'die'shu 玄弄蝶属
'xuan'nong'die'shu 癣弄蝶属
'xuan'pi'ye'e'shu 旋皮夜蛾属
'xuan'pi'ye'e'shu 癣皮夜蛾属
'xuan'pi'ye'zhu 旋皮夜蛛
'xuan'shan'zhu 悬闪蛛
'xuan'shang'he'feng'die 玄裳褐凤蝶
'xuan'shen'xiang 玄参象
'xuan'tiao'huang 旋跳蝗
'xuan'tiao'huang'shu 旋跳蝗属
'xuan'xiang 玄象
'xuan'xiao'feng'ke 旋小蜂科
'xuan'xiao'feng'shu 旋小蜂属
'xuan'yan'die'shu 玄眼蝶属
'xuan'yao'ruo'zhu 眩耀弱蛛
'xuan'ye'e'shu 旋夜蛾属
'xuan'ye'e'shu 炫夜蛾属
'xuan'ying'ye'jia'shu 旋萤叶甲属
'xuan'zhi'ji'feng 旋栉姬蜂
'xuan'zhou'e'shu 选舟蛾属
'xuan'zhuan'hou'qiu'zhu 旋转后丘蛛
'xuan'zhuan'kuan'xiong'zhu 旋转宽胸蛛
'xuan'zi'qiao'ju'wei'yi 悬紫跷举尾蚁
'xue'bai'li'mai'la'chan 雪白粒脉蜡蝉
'xue'bai'shu'xi 雪白树蟋
'xue'bai'tiao'tian'niu 雪白条天牛
'xue'ban'fu'jin'gui 血斑蜉金龟
'xue'ban'gong'bei'yi 血斑弓背蚁
'xue'ban'ji'ding'jia 血斑吉丁甲
'xue'ban'li'ye'e'shu 血斑丽夜蛾属
'xue'ban'ye'e 血斑夜蛾
'xue'ban'ye'e'shu 血斑夜蛾属
'xue'bei'ku'wen 雪背库蚊
'xue'chao'e'shu 雪巢蛾属
'xue'chi'hua'tian'niu'shu 削翅花天牛属
'xue'chou'yi'shu 穴臭蚁属
'xue'deng'e'shu 雪灯蛾属
'xue'dian'he'tian'niu 穴点贺天牛
'xue'du'e'shu 雪毒蛾属
'xue'dun'jie'shu 雪盾蚧属
'xue'dun'jie'ya'ke 雪盾蚧亚科
'xue'fen'jie'shu 雪粉蚧属
'xue'feng'shan'fu'lu'huang 雪峰山腹露蝗
'xue'fu'sai'jian'feng 雪跗赛茧蜂
'xue'he'ming'shu 雪禾螟属
'xue'hei'huang 血黑蝗
'xue'hong'chi'qing 血红赤蜻
'xue'hong'mu'yi 血红牧蚁
'xue'hong'shan'tou'pi 血红扇头蜱
'xue'hong'tiao'jia'shu 血红跳甲属
'xue'hong'yi 血红蚁
'xue'huang'shu 雪蝗属
'xue'hui'ying 血喙蝇
'xue'hui'ying'shu 血喙蝇属
'xue'ji'yue'zhu 雪记跃蛛
'xue'jia'die'shu 靴蛱蝶属
'xue'ju'mai'zang'chong'shu 穴居埋葬虫属
'xue'ke'shi'shu 血渴虱属
'xue'lang'zhu 穴狼蛛
'xue'liang'kuan'xiong'ying'hu 雪亮宽胸蝇虎
'xue'liu'chun 削瘤蝽
'xue'mai'e'shu 雪麦蛾属
'xue'meng 穴虻
'xue'meng'ke 穴虻科
'xue'meng'shu 穴虻属
'xue'meng'ya'ke 穴虻亚科
'xue'meng'yi'shu 穴猛蚁属
'xue'nong'die'shu 血弄蝶属
'xue'pi'shu 血蜱属
'xue'pian'xiang'shu 雪片象属
'xue'pian'zao'shu 靴片蚤属
'xue'qiu'xin'jiao'ya 雪球新角蚜
'xue'qiu'yuan'wei'ya 雪球圆尾蚜
'xue'que'mao'huang 薛缺毛蝗
'xue'san'ci'jiao'chan 雪三刺角蝉
'xue'se'ji'jian'feng 血色脊茧蜂
'xue'se'yue'jian'feng 血色悦茧蜂
'xue'shan'heng'gu'huang 雪山横鼓蝗
'xue'shi'ao'bei'huang 薛氏凹背蝗
'xue'shi'ao'bei'huang'zhang'jiao'ya'zhong 薛氏凹背蝗长角亚种
'xue'shi'ao'bei'huang'zhi'ming'ya'zhong 薛氏凹背蝗指名亚种
'xue'shi'dian'chi'ying 薛氏点池蝇
'xue'shi'ke 血虱科
'xue'shi'qu'fen'ling 薛氏曲粉蛉
'xue'shi'shu 血虱属
'xue'shu'xi 雪树蟋
'xue'si'dun'jie 雪丝盾蚧
'xue'song'si'yan'xiao'du 雪松四眼小蠹
'xue'song'xiang'shan'feng 雪松香杉蜂
'xue'song'xiao'du 雪松小蠹
'xue'ta'jia'die'shu 血塔蛱蝶属
'xue'tai'e'shu 雪苔蛾属
'xue'ting'ku'wen 雪汀库蚊
'xue'tong'mao'fen'jie 血桐牦粉蚧
'xue'xin'dan'zhua'ao'feng 学新单爪螯蜂
'xue'xiong'feng 雪熊蜂
'xue'yin'ban'zhu 雪银斑蛛
'xue'yin'lin'zhu 雪银鳞蛛
'xue'ying'shu 血蝇属
'xue'you'chun 削疣蝽
'xue'yuan'ya'ke 薛蚖亚科
'xue'yuan'zhu 雪园蛛
'xue'zhong'ying'shu 雪种蝇属
'xue'zhou'e'shu 雪舟蛾属
'xue'zhui'ying 血赘蝇
'xun'bu'jia'shu 蕈步甲属
'xun'chang'zu'meng'shu 迅长足虻属
'xun'fen'jie'shu 蕈粉蚧属
'xun'jie'gong'bei'yi 迅捷弓背蚁
'xun'lue'zhu 迅掠蛛
'xun'rui'shu 逊蚋属
'xun'wen'ke 蕈蚊科
'xun'wen'ya'ke 蕈蚊亚科
'xun'wen'zong'ke 蕈蚊总科
'xun'xing'tou'ting 巡行头蜓
'xun'yang'xiong'zhu 旬阳熊蛛
'xun'ye'e'shu 熏夜蛾属
'xun'zhan'wen'shu 蕈粘蚊属
'xun'zhang'e'qing 勋章轭蜻
'xun'zu'chang'chun'shu 迅足长蝽属
'ya'an'ken'yuan 雅安肯蚖
'ya'an'ma'ying 雅安麻蝇
'ya'an'wei'meng 亚暗尾虻
'ya'an'yi'shi'gang'zhong 雅安异饰肛螽
'ya'ao'xiao'ye'jia'shu 亚澳肖叶甲属
'ya'ao'zao'ying 亚凹蚤蝇
'ya'bai'xian'wei'cao'ming'xi'fang'ya'zhong 亚白线微草螟西方亚种
'ya'ban'hu'jia 芽斑虎甲
